resourceId;rs;difficulty_rank;question;explanation;errorRate;responseTime;answers
124;701;2;"[[""latex"",""11-9""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.15;9350;533
125;701;1;"[[""latex"",""11-10""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.06;4378;606
126;701;1;"[[""latex"",""12-1""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.07;4450;663
127;701;1;"[[""latex"",""12-2""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.07;4500;612
128;701;1;"[[""latex"",""12-3""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.13;7350;616
129;701;2;"[[""latex"",""12+4""],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.15;9100;600
130;701;1;"[[""latex"",""12-4""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.11;7650;609
131;701;1;"[[""latex"",""12+5""],[""input"",{""answer"":[""17""],""style"":""separate""}]]";;0.1;6800;628
132;701;1;"[[""latex"",""12-5""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.16;10064;587
133;701;1;"[[""latex"",""12+6""],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.16;9319;600
134;701;1;"[[""latex"",""12-6""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.13;8315;623
135;701;2;"[[""latex"",""12+7""],[""input"",{""answer"":[""19""],""style"":""separate""}]]";;0.15;10869;580
136;701;1;"[[""latex"",""12-7""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.13;10750;599
137;701;1;"[[""latex"",""12+8""],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.12;7925;649
138;701;2;"[[""latex"",""12-8""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.17;12100;593
139;701;2;"[[""latex"",""12-9""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.15;13300;594
140;701;1;"[[""latex"",""12-10""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.07;4950;599
141;701;1;"[[""latex"",""12-11""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.08;5000;648
142;701;1;"[[""latex"",""13-1""],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.05;4950;609
143;701;1;"[[""latex"",""13-2""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.08;5174;643
144;701;1;"[[""latex"",""13-3""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.06;4500;607
145;701;2;"[[""latex"",""13+4""],[""input"",{""answer"":[""17""],""style"":""separate""}]]";;0.13;9450;575
146;701;2;"[[""latex"",""13-4""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.14;7688;607
147;701;1;"[[""latex"",""13+5""],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.11;7525;618
148;701;2;"[[""latex"",""13-5""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.16;11875;590
149;701;2;"[[""latex"",""13+6""],[""input"",{""answer"":[""19""],""style"":""separate""}]]";;0.16;10400;589
150;701;2;"[[""latex"",""13-6""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.18;13250;594
151;701;2;"[[""latex"",""13+7""],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.15;11318;616
152;701;2;"[[""latex"",""13-7""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.2;14200;590
153;701;2;"[[""latex"",""13-8""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.16;11737;562
154;701;2;"[[""latex"",""13-9""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.19;13215;580
155;701;1;"[[""latex"",""13-10""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.07;5187;624
156;701;2;"[[""latex"",""13-11""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.14;8350;603
157;701;1;"[[""latex"",""13-12""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.11;5100;635
158;701;1;"[[""latex"",""14-1""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.06;5059;611
159;701;1;"[[""latex"",""14-2""],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.09;5700;635
160;701;1;"[[""latex"",""14-3""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.12;5579;628
161;701;1;"[[""latex"",""14+4""],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.09;5750;610
162;701;1;"[[""latex"",""14-4""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.06;4450;634
163;701;1;"[[""latex"",""14+5""],[""input"",{""answer"":[""19""],""style"":""separate""}]]";;0.11;6683;620
164;701;2;"[[""latex"",""14-5""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.14;8350;592
165;701;1;"[[""latex"",""14+6""],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.13;6875;598
166;701;1;"[[""latex"",""14-6""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.18;10175;583
167;701;1;"[[""latex"",""14-7""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.18;8550;574
168;701;1;"[[""latex"",""14-8""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.23;10850;596
169;701;1;"[[""latex"",""14-9""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.16;10425;648
170;701;1;"[[""latex"",""14-10""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.06;5103;618
171;701;1;"[[""latex"",""14-11""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.18;7225;634
172;701;1;"[[""latex"",""14-12""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.15;5800;608
173;701;1;"[[""latex"",""14-13""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.14;4850;618
174;701;1;"[[""latex"",""15-1""],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.05;4750;609
175;701;1;"[[""latex"",""15-2""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.09;6300;595
176;701;1;"[[""latex"",""15-3""],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.09;5921;584
177;701;1;"[[""latex"",""15+4""],[""input"",{""answer"":[""19""],""style"":""separate""}]]";;0.12;6300;616
178;701;1;"[[""latex"",""15-4""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.11;6175;603
179;701;1;"[[""latex"",""15+5""],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.11;5250;654
180;701;1;"[[""latex"",""15-5""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.06;4383;620
181;701;1;"[[""latex"",""15-6""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.16;7200;661
182;701;2;"[[""latex"",""15-7""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.17;12774;575
183;701;2;"[[""latex"",""15-8""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.19;13650;564
184;701;2;"[[""latex"",""15-9""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.18;12626;628
185;701;1;"[[""latex"",""15-10""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.06;5100;612
186;701;1;"[[""latex"",""15-11""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.18;7300;617
187;701;1;"[[""latex"",""15-12""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.2;6500;598
188;701;2;"[[""latex"",""15-13""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.14;7825;608
189;701;1;"[[""latex"",""15-14""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.13;4110;614
190;701;1;"[[""latex"",""16-1""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.06;4801;591
191;701;1;"[[""latex"",""16-2""],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.09;6808;610
192;701;1;"[[""latex"",""16-3""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.12;6850;592
193;701;1;"[[""latex"",""16+4""],[""input"",{""answer"":[""20""],""style"":""separate""}]]";;0.14;7250;589
194;701;1;"[[""latex"",""16-4""],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.16;8600;624
195;701;2;"[[""latex"",""16-5""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.12;7422;582
196;701;1;"[[""latex"",""16-6""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.06;4500;619
197;701;2;"[[""latex"",""16-7""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.16;9153;606
198;701;2;"[[""latex"",""16-8""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.2;12975;583
199;701;2;"[[""latex"",""16-9""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.24;14672;619
200;701;1;"[[""latex"",""16-10""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.09;5150;593
201;701;2;"[[""latex"",""16-11""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.12;10900;585
202;701;1;"[[""latex"",""16-12""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.22;8575;591
203;701;1;"[[""latex"",""16-13""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.16;6612;638
204;701;2;"[[""latex"",""16-14""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.18;10188;585
205;701;1;"[[""latex"",""16-15""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.12;4769;588
206;701;1;"[[""latex"",""17-1""],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.06;5750;623
207;701;1;"[[""latex"",""17-2""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.08;6142;603
208;701;2;"[[""latex"",""17-3""],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.16;10564;608
209;701;2;"[[""latex"",""17-4""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.19;10000;621
210;701;2;"[[""latex"",""17-5""],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.16;9225;609
211;701;2;"[[""latex"",""17-6""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.15;8300;619
212;701;1;"[[""latex"",""17-7""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.05;4671;620
213;701;1;"[[""latex"",""17-8""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.23;7950;657
214;701;2;"[[""latex"",""17-9""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.19;14700;603
215;701;1;"[[""latex"",""17-10""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.11;5092;595
216;701;2;"[[""latex"",""17-11""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.17;10637;571
217;701;2;"[[""latex"",""17-12""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.15;10711;580
218;701;2;"[[""latex"",""17-13""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.2;11850;585
219;701;1;"[[""latex"",""17-14""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.25;8650;593
220;701;2;"[[""latex"",""17-15""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.16;8850;585
221;701;1;"[[""latex"",""17-16""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.12;4900;606
222;701;1;"[[""latex"",""18-1""],[""input"",{""answer"":[""17""],""style"":""separate""}]]";;0.05;5277;623
223;701;1;"[[""latex"",""18-2""],[""input"",{""answer"":[""16""],""style"":""separate""}]]";;0.1;7400;604
224;701;1;"[[""latex"",""18-3""],[""input"",{""answer"":[""15""],""style"":""separate""}]]";;0.1;7450;583
225;701;1;"[[""latex"",""18-4""],[""input"",{""answer"":[""14""],""style"":""separate""}]]";;0.14;6800;603
226;701;2;"[[""latex"",""18-5""],[""input"",{""answer"":[""13""],""style"":""separate""}]]";;0.17;9876;570
227;701;2;"[[""latex"",""18-6""],[""input"",{""answer"":[""12""],""style"":""separate""}]]";;0.17;12100;627
228;701;2;"[[""latex"",""18-7""],[""input"",{""answer"":[""11""],""style"":""separate""}]]";;0.17;8053;594
229;701;1;"[[""latex"",""18-8""],[""input"",{""answer"":[""10""],""style"":""separate""}]]";;0.07;4100;619
230;701;2;"[[""latex"",""18-9""],[""input"",{""answer"":[""9""],""style"":""separate""}]]";;0.19;10000;578
231;701;1;"[[""latex"",""18-10""],[""input"",{""answer"":[""8""],""style"":""separate""}]]";;0.1;4925;625
232;701;1;"[[""latex"",""18-11""],[""input"",{""answer"":[""7""],""style"":""separate""}]]";;0.18;8800;653
233;701;2;"[[""latex"",""18-12""],[""input"",{""answer"":[""6""],""style"":""separate""}]]";;0.2;11795;559
234;701;2;"[[""latex"",""18-13""],[""input"",{""answer"":[""5""],""style"":""separate""}]]";;0.13;11160;570
235;701;1;"[[""latex"",""18-14""],[""input"",{""answer"":[""4""],""style"":""separate""}]]";;0.16;6650;638
236;701;2;"[[""latex"",""18-15""],[""input"",{""answer"":[""3""],""style"":""separate""}]]";;0.17;9157;593
237;701;1;"[[""latex"",""18-16""],[""input"",{""answer"":[""2""],""style"":""separate""}]]";;0.19;8350;599
238;701;1;"[[""latex"",""18-17""],[""input"",{""answer"":[""1""],""style"":""separate""}]]";;0.13;4475;611
239;701;1;"[[""latex"",""19-1""],[""input"",{""answer"":[""18""],""style"":""separate""}]]";;0.05;5700;640
240;701;1;"[[""latex"",""19-2""],[""input"",{""answer"":[""17""],""style"":""separate""}]]";;0.12;7474;580
